Load #,Charge (gr),COAL,Velocity (fps),ES,SD,Group Size (MOA),Notes
Date,Temp (°F),Humidity (%),Pressure (inHg),,,,
,,,,,,,
1,25.0,2.260,,,,,
2,26.0,2.280,,,,,
3,24.5,2.270,,,,,
4,25.2,2.265,,,,,
5,25.5,2.275,,,,,
6,23.5,2.250,,,,,
