Load #,Charge (gr),COAL,Velocity (fps),ES,SD,Group Size (MOA),Notes
Date,Temp (°F),Humidity (%),Pressure (inHg),,,,
,,,,,,,
1,42.0,2.800,,,,,
2,41.0,2.810,,,,,
3,44.0,2.780,,,,,
4,40.5,2.820,,,,,
5,43.0,2.790,,,,,
6,45.0,2.775,,,,,
