Load #,Charge (gr),COAL,Velocity (fps),ES,SD,Group Size (MOA),Notes
Date,Temp (°F),Humidity (%),Pressure (inHg),,,,
,,,,,,,
1,54.0,2.955,,,,,
2,53.5,2.980,,,,,
3,54.0,2.965,,,,,
4,52.5,3.140,,,,,
5,53.0,3.115,,,,,
6,53.0,2.980,,,,,
